mixture_ID,speaker_1_ID,speaker_1_sex
audio00172,female3,F
audio00173,female4,F
audio00174,male3,M
audio00175,female9,F
audio00176,female1,F
audio00177,male2,M
audio00178,male2,M
audio00179,male3,M
audio00180,female30,F
audio00181,male27,M
audio00182,male7,M
audio00183,male26,M
audio00184,female17,F
audio00185,male26,M
audio00186,female14,F
audio00187,male5,M
audio00188,male7,M
audio00189,male3,M
audio00190,female27,F
audio00191,male30,M
audio00192,male16,M
audio00193,male8,M
audio00194,female11,F
audio00195,male26,M
audio00196,male24,M
audio00197,male2,M
audio00198,male24,M
audio00199,female27,F
audio00200,female4,F
audio00201,male30,M
audio00202,male4,M
audio00203,male19,M
audio00204,female15,F
audio00205,female22,F
audio00206,male27,M
audio00207,male22,M
audio00208,female1,F
audio00209,female29,F
audio00210,male27,M
audio00211,female4,F
audio00212,female22,F
audio00213,male22,M
audio00214,female30,F
audio00215,female28,F
audio00216,male22,M
audio00217,female29,F
audio00218,female30,F
audio00219,female28,F
audio00220,male27,M
audio00221,female5,F
audio00222,male8,M
audio00223,male7,M
audio00224,female12,F
audio00225,male8,M
audio00226,female2,F
audio00227,male23,M
audio00228,female26,F
audio00229,female1,F
audio00230,female27,F
audio00231,female17,F
audio00232,female8,F
audio00233,female27,F
audio00234,female30,F
audio00235,female2,F
audio00236,male24,M
audio00237,male24,M
audio00238,female28,F
audio00239,male5,M
audio00240,male23,M
audio00241,male19,M
audio00242,female8,F
audio00243,female14,F
audio00244,female11,F
audio00245,female30,F
audio00246,male9,M
audio00247,male30,M
audio00248,female22,F
audio00249,male19,M
audio00250,male23,M
audio00251,male24,M
audio00252,male26,M
audio00253,female14,F
audio00254,female15,F
audio00255,male2,M
audio00256,male7,M
audio00257,male22,M
audio00258,male18,M
audio00259,male9,M
audio00260,female17,F
audio00261,female2,F
audio00262,female27,F
audio00263,female26,F
audio00264,male30,M
audio00265,female22,F
audio00266,male4,M
audio00267,male30,M
audio00268,female4,F
audio00269,male7,M
audio00270,female29,F
audio00271,female22,F
audio00272,male22,M
audio00273,male2,M
audio00274,male9,M
audio00275,female11,F
audio00276,male16,M
audio00277,female24,F
audio00278,male2,M
audio00279,male9,M
audio00280,female8,F
audio00281,male4,M
audio00282,male3,M
audio00283,female5,F
audio00284,female9,F
audio00285,female3,F
audio00286,female15,F
audio00287,female24,F
audio00288,male18,M
audio00289,female28,F
audio00290,female17,F
audio00291,female2,F
audio00292,female15,F
audio00293,female12,F
audio00294,female29,F
audio00295,female29,F
audio00296,female11,F
audio00297,female9,F
audio00298,male2,M
audio00299,female17,F
audio00300,male7,M
audio00301,female5,F
audio00302,male5,M
audio00303,male8,M
audio00304,female5,F
audio00305,male10,M
audio00306,male4,M
audio00307,male20,M
audio00308,female27,F
audio00309,male16,M
audio00310,male16,M
audio00311,female8,F
audio00312,male2,M
audio00313,male19,M
audio00314,female15,F
audio00315,female29,F
audio00316,male8,M
audio00317,male22,M
audio00318,male26,M
audio00319,female12,F
audio00320,male20,M
audio00321,male26,M
audio00322,male7,M
audio00323,female12,F
audio00324,female24,F
audio00325,male16,M
audio00326,male22,M
audio00327,male25,M
audio00328,male2,M
audio00329,female22,F
audio00330,male22,M
audio00331,female17,F
audio00332,female24,F
audio00333,female14,F
audio00334,male24,M
audio00335,male10,M
audio00336,male19,M
audio00337,male8,M
audio00338,male23,M
audio00339,female26,F
audio00340,female4,F
audio00341,female20,F
audio00342,female12,F
audio00343,female30,F
audio00344,female11,F
audio00345,female5,F
audio00346,female14,F
audio00347,male19,M
audio00348,male27,M
audio00349,male2,M
audio00350,female5,F
audio00351,female28,F
audio00352,male20,M
audio00353,female22,F
audio00354,female28,F
audio00355,male20,M
audio00356,male5,M
audio00357,male8,M
audio00358,male25,M
audio00359,female22,F
audio00360,female20,F
audio00361,male10,M
audio00362,male24,M
audio00363,female5,F
audio00364,female11,F
audio00365,male22,M
audio00366,female28,F
audio00367,male9,M
audio00368,male18,M
audio00369,male18,M
audio00370,female4,F
audio00371,female4,F
audio00372,male8,M
audio00373,male2,M
audio00374,male25,M
audio00375,female29,F
audio00376,male23,M
audio00377,male20,M
audio00378,male24,M
audio00379,male19,M
audio00380,male8,M
audio00381,male27,M
audio00382,female22,F
audio00383,female27,F
audio00384,female11,F
audio00385,male9,M
audio00386,female3,F
audio00387,female5,F
audio00388,female8,F
audio00389,female9,F
audio00390,male10,M
audio00391,female8,F
audio00392,female15,F
audio00393,male4,M
audio00394,female28,F
audio00395,female27,F
audio00396,male10,M
audio00397,male27,M
audio00398,female4,F
audio00399,male3,M
audio00400,male7,M
audio00401,female3,F
audio00402,female1,F
audio00403,male3,M
audio00404,male2,M
audio00405,male26,M
audio00406,female20,F
audio00407,female14,F
audio00408,male18,M
audio00409,male19,M
audio00410,female30,F
audio00411,male25,M
audio00412,female9,F
audio00413,female28,F
audio00414,male6,M
audio00415,female24,F
audio00416,female15,F
audio00417,male30,M
audio00418,female17,F
audio00419,male20,M
audio00420,male25,M
audio00421,female20,F
audio00422,male22,M
audio00423,male25,M
audio00424,male23,M
audio00425,female4,F
audio00426,female12,F
audio00427,female30,F
audio00428,female3,F
audio00429,male22,M
audio00430,female14,F
audio00431,male30,M
audio00432,male26,M
audio00433,male25,M
audio00434,female22,F
audio00435,female30,F
audio00436,male10,M
audio00437,female12,F
audio00438,male19,M
audio00439,female14,F
audio00440,female4,F
audio00441,female26,F
audio00442,male8,M
audio00443,female8,F
audio00444,male10,M
audio00445,female17,F
audio00446,female5,F
audio00447,female2,F
audio00448,male18,M
audio00449,female11,F
audio00450,male4,M
audio00451,male19,M
audio00452,female11,F
audio00453,female27,F
audio00454,male19,M
audio00455,female20,F
audio00456,male19,M
audio00457,female15,F
audio00458,male7,M
audio00459,male6,M
audio00460,female9,F
audio00461,female12,F
audio00462,male7,M
audio00463,male24,M
audio00464,male22,M
audio00465,female27,F
audio00466,male7,M
audio00467,male7,M
audio00468,female2,F
audio00469,male22,M
audio00470,male8,M
audio00471,female1,F
audio00472,female28,F
audio00473,female2,F
audio00474,female9,F
audio00475,female3,F
audio00476,female27,F
audio00477,male8,M
audio00478,female24,F
audio00479,female15,F
audio00480,female26,F
audio00481,female29,F
audio00482,male25,M
audio00483,male26,M
audio00484,female26,F
audio00485,female26,F
audio00486,male8,M
audio00487,male27,M
audio00488,female20,F
audio00489,male18,M
audio00490,female30,F
audio00491,male24,M
audio00492,female3,F
audio00493,female20,F
audio00494,male16,M
audio00495,male23,M
audio00496,male26,M
audio00497,female15,F
audio00498,female9,F
audio00499,female24,F
audio00500,male19,M
audio00501,female17,F
audio00502,female28,F
audio00503,female3,F
audio00504,female17,F
audio00505,female30,F
audio00506,male6,M
audio00507,female9,F
audio00508,male20,M
audio00509,male23,M
audio00510,female17,F
audio00511,male8,M
audio00512,female24,F
audio00513,male22,M
audio00514,male24,M
audio00515,male24,M
audio00516,male19,M
audio00517,female26,F
audio00518,male18,M
audio00519,female11,F
audio00520,male23,M
audio00521,female12,F
audio00522,female30,F
audio00523,male2,M
audio00524,male16,M
audio00525,female22,F
audio00526,male24,M
audio00527,female5,F
audio00528,male24,M
audio00529,female12,F
audio00530,female14,F
audio00531,male8,M
audio00532,male3,M
audio00533,male4,M
audio00534,male3,M
audio00535,female1,F
audio00536,female3,F
audio00537,female26,F
audio00538,female4,F
audio00539,male26,M
audio00540,female8,F
audio00541,female30,F
audio00542,male16,M
audio00543,female2,F
audio00544,female2,F
audio00545,male7,M
audio00546,male10,M
audio00547,male5,M
audio00548,female5,F
audio00549,female17,F
audio00550,male25,M
audio00551,male4,M
audio00552,male27,M
audio00553,female9,F
audio00554,male26,M
audio00555,female8,F
audio00556,male3,M
audio00557,female8,F
audio00558,female1,F
audio00559,male9,M
audio00560,female9,F
audio00561,male18,M
audio00562,male2,M
audio00563,male26,M
audio00564,female24,F
audio00565,male2,M
audio00566,female9,F
audio00567,female9,F
audio00568,female30,F
audio00569,male23,M
audio00570,female9,F
audio00571,male23,M
audio00572,male20,M
audio00573,female8,F
audio00574,male10,M
audio00575,male19,M
audio00576,male25,M
audio00577,male9,M
audio00578,male26,M
audio00579,male20,M
audio00580,female12,F
audio00581,female8,F
audio00582,female29,F
audio00583,female5,F
audio00584,female30,F
audio00585,male6,M
audio00586,male4,M
audio00587,male19,M
audio00588,female27,F
audio00589,female12,F
audio00590,male10,M
audio00591,male18,M
audio00592,female29,F
audio00593,male9,M
audio00594,female26,F
audio00595,male16,M
audio00596,female22,F
audio00597,male2,M
audio00598,male16,M
audio00599,male4,M
audio00600,female4,F
audio00601,male22,M
audio00602,female28,F
audio00603,female11,F
audio00604,female26,F
audio00605,female5,F
audio00606,female1,F
audio00607,female3,F
audio00608,female1,F
audio00609,male5,M
audio00610,male3,M
audio00611,female4,F
audio00612,male19,M
audio00613,male20,M
audio00614,female27,F
audio00615,female9,F
audio00616,male25,M
audio00617,male19,M
audio00618,male26,M
audio00619,male8,M
audio00620,female28,F
audio00621,male4,M
audio00622,male30,M
audio00623,female14,F
audio00624,male7,M
audio00625,female28,F
audio00626,male9,M
audio00627,male20,M
audio00628,male7,M
audio00629,male8,M
audio00630,female30,F
audio00631,female1,F
audio00632,male6,M
audio00633,male19,M
audio00634,female5,F
audio00635,female28,F
audio00636,male10,M
audio00637,female11,F
audio00638,female27,F
audio00639,male2,M
audio00640,female3,F
audio00641,male4,M
audio00642,female12,F
audio00643,female11,F
audio00644,male8,M
audio00645,female17,F
audio00646,male2,M
audio00647,female17,F
audio00648,male30,M
audio00649,female14,F
audio00650,male7,M
audio00651,male16,M
audio00652,female24,F
audio00653,male2,M
audio00654,male18,M
audio00655,male25,M
audio00656,male2,M
audio00657,male30,M
audio00658,female17,F
audio00659,male19,M
audio00660,female4,F
audio00661,female15,F
audio00662,female27,F
audio00663,female4,F
audio00664,female3,F
audio00665,male20,M
audio00666,male16,M
audio00667,male9,M
audio00668,female30,F
audio00669,female15,F
audio00670,female4,F
audio00671,male23,M
audio00672,female1,F
audio00673,male22,M
audio00674,female12,F
audio00675,male9,M
audio00676,female30,F
audio00677,male2,M
audio00678,female5,F
audio00679,female29,F
audio00680,female2,F
audio00681,female8,F
audio00682,male6,M
audio00683,female5,F
audio00684,male3,M
audio00685,male19,M
audio00686,female9,F
audio00687,female12,F
audio00688,male22,M
audio00689,male27,M
audio00690,female22,F
audio00691,female3,F
audio00692,male24,M
audio00693,female17,F
audio00694,male20,M
audio00695,male30,M
audio00696,female22,F
audio00697,female11,F
audio00698,male6,M
audio00699,female1,F
audio00700,male4,M
audio00701,male25,M
audio00702,female22,F
audio00703,male3,M
audio00704,male24,M
audio00705,female5,F
audio00706,male27,M
audio00707,female22,F
audio00708,male16,M
audio00709,male26,M
audio00710,male10,M
audio00711,male22,M
audio00712,male5,M
audio00713,female28,F
audio00714,male23,M
audio00715,male25,M
audio00716,male30,M
audio00717,female15,F
audio00718,female8,F
audio00719,male25,M
audio00720,female4,F
audio00721,female17,F
audio00722,female30,F
audio00723,male23,M
audio00724,male26,M
audio00725,male30,M
audio00726,male10,M
audio00727,female15,F
audio00728,male7,M
audio00729,male8,M
audio00730,male18,M
audio00731,male20,M
audio00732,female20,F
audio00733,female12,F
audio00734,male26,M
audio00735,male5,M
audio00736,female1,F
audio00737,female30,F
audio00738,female17,F
audio00739,female29,F
audio00740,male26,M
audio00741,female17,F
audio00742,male27,M
audio00743,female11,F
audio00744,female26,F
audio00745,male4,M
audio00746,male6,M
audio00747,male10,M
audio00748,male6,M
audio00749,female15,F
audio00750,female12,F
audio00751,male23,M
audio00752,male24,M
audio00753,female1,F
audio00754,male4,M
audio00755,female29,F
audio00756,male22,M
audio00757,male27,M
audio00758,female11,F
audio00759,male20,M
audio00760,female8,F
audio00761,male3,M
audio00762,female12,F
audio00763,male19,M
audio00764,female26,F
audio00765,female12,F
audio00766,female14,F
audio00767,female29,F
audio00768,male26,M
audio00769,male3,M
audio00770,male20,M
audio00771,female26,F
audio00772,female14,F
audio00773,male7,M
audio00774,female27,F
audio00775,male26,M
audio00776,female5,F
audio00777,male4,M
audio00778,male25,M
audio00779,male2,M
audio00780,female4,F
audio00781,male6,M
audio00782,female20,F
audio00783,male2,M
audio00784,male18,M
audio00785,male26,M
audio00786,male3,M
audio00787,female4,F
audio00788,male16,M
audio00789,male22,M
audio00790,male9,M
audio00791,male22,M
audio00792,female2,F
audio00793,male8,M
audio00794,male10,M
audio00795,male7,M
audio00796,male8,M
audio00797,male4,M
audio00798,female15,F
audio00799,female20,F
audio00800,male8,M
audio00801,male2,M
audio00802,male5,M
audio00803,male22,M
audio00804,female5,F
audio00805,female9,F
audio00806,male16,M
audio00807,female2,F
audio00808,female27,F
audio00809,female24,F
audio00810,female2,F
audio00811,male2,M
audio00812,male8,M
audio00813,female8,F
audio00814,male19,M
audio00815,male4,M
audio00816,male16,M
audio00817,female28,F
audio00818,female3,F
audio00819,male5,M
audio00820,male25,M
audio00821,male22,M
audio00822,female15,F
audio00823,female4,F
audio00824,female24,F
audio00825,male27,M
audio00826,male25,M
audio00827,male23,M
audio00828,female9,F
audio00829,male23,M
audio00830,female28,F
audio00831,male4,M
audio00832,male10,M
audio00833,male24,M
audio00834,male20,M
audio00835,female28,F
audio00836,female27,F
audio00837,male7,M
audio00838,female2,F
audio00839,male10,M
audio00840,male10,M
audio00841,male23,M
audio00842,female11,F
audio00843,female28,F
audio00844,female15,F
audio00845,female11,F
audio00846,female2,F
audio00847,female17,F
audio00848,male18,M
audio00849,female30,F
audio00850,female5,F
audio00851,female3,F
audio00852,male18,M
audio00853,male30,M
audio00854,male20,M
audio00855,female1,F
audio00856,female4,F
audio00857,female5,F
audio00858,female3,F
audio00859,male4,M
audio00860,male20,M
audio00861,male2,M
audio00862,male16,M
audio00863,male20,M
audio00864,male18,M
audio00865,female1,F
audio00866,male19,M
audio00867,female20,F
audio00868,male10,M
audio00869,female8,F
audio00870,male22,M
audio00871,female22,F
audio00872,male24,M
audio00873,male27,M
audio00874,female29,F
audio00875,male6,M
audio00876,male18,M
audio00877,female12,F
audio00878,female22,F
audio00879,male26,M
audio00880,female11,F
audio00881,male24,M
audio00882,male5,M
audio00883,male19,M
audio00884,male2,M
audio00885,female5,F
audio00886,male9,M
audio00887,male5,M
audio00888,female5,F
audio00889,female12,F
audio00890,female4,F
audio00891,male22,M
audio00892,male26,M
audio00893,male8,M
audio00894,female1,F
audio00895,male18,M
audio00896,female5,F
audio00897,male4,M
audio00898,male2,M
audio00899,female9,F
audio00900,male22,M
audio00901,male20,M
audio00902,female27,F
audio00903,female9,F
audio00904,male27,M
audio00905,female22,F
audio00906,female29,F
audio00907,male26,M
audio00908,male18,M
audio00909,female14,F
audio00910,female5,F
audio00911,female27,F
audio00912,male2,M
audio00913,male5,M
audio00914,female28,F
audio00915,female17,F
audio00916,male10,M
audio00917,male30,M
audio00918,male16,M
audio00919,male9,M
audio00920,female27,F
audio00921,female9,F
audio00922,female26,F
audio00923,male8,M
audio00924,male22,M
audio00925,female3,F
audio00926,female15,F
audio00927,female5,F
audio00928,male6,M
audio00929,male27,M
audio00930,female2,F
audio00931,female28,F
audio00932,male2,M
audio00933,male20,M
audio00934,female24,F
audio00935,female24,F
audio00936,male19,M
audio00937,female17,F
audio00938,female4,F
audio00939,female2,F
audio00940,female2,F
audio00941,female5,F
audio00942,male18,M
audio00943,male10,M
audio00944,male30,M
audio00945,female5,F
audio00946,male24,M
audio00947,male9,M
audio00948,female15,F
audio00949,male25,M
audio00950,female8,F
audio00951,male10,M
audio00952,male26,M
audio00953,male7,M
audio00954,female8,F
audio00955,male6,M
audio00956,male7,M
audio00957,female8,F
audio00958,female4,F
audio00959,female11,F
audio00960,male22,M
audio00961,male16,M
audio00962,male9,M
audio00963,female22,F
audio00964,female3,F
audio00965,female20,F
audio00966,male16,M
audio00967,female17,F
audio00968,male4,M
audio00969,male4,M
audio00970,female3,F
audio00971,male24,M
audio00972,male4,M
audio00973,male5,M
audio00974,male4,M
audio00975,male4,M
audio00976,female20,F
audio00977,female4,F
audio00978,male24,M
audio00979,male5,M
audio00980,female17,F
audio00981,female28,F
audio00982,female8,F
audio00983,male3,M
audio00984,male25,M
audio00985,female14,F
audio00986,female17,F
audio00987,female30,F
audio00988,male10,M
audio00989,male9,M
audio00990,male27,M
audio00991,male6,M
audio00992,male23,M
audio00993,female20,F
audio00994,female26,F
audio00995,female20,F
audio00996,male22,M
audio00997,female27,F
audio00998,female27,F
audio00999,male30,M
audio01000,male5,M
audio01001,male26,M
audio01002,male26,M
audio01003,female11,F
audio01004,female2,F
audio01005,female4,F
audio01006,male23,M
audio01007,male24,M
audio01008,male18,M
audio01009,male26,M
audio01010,female29,F
audio01011,female2,F
audio01012,female1,F
audio01013,male24,M
audio01014,female20,F
audio01015,male8,M
audio01016,female15,F
audio01017,male23,M
audio01018,female1,F
audio01019,female8,F
audio01020,female22,F
audio01021,female12,F
audio01022,female11,F
audio01023,female11,F
audio01024,male30,M
audio01025,male30,M
audio01026,male27,M
audio01027,male20,M
audio01028,female17,F
audio01029,male26,M
audio01030,female20,F
audio01031,female2,F
audio01032,male26,M
audio01033,female30,F
audio01034,female4,F
audio01035,male30,M
audio01036,female15,F
audio01037,female1,F
audio01038,female1,F
audio01039,female8,F
audio01040,male16,M
audio01041,female5,F
audio01042,male5,M
audio01043,male10,M
audio01044,female27,F
audio01045,female4,F
audio01046,female27,F
audio01047,male6,M
audio01048,male9,M
audio01049,female17,F
audio01050,male16,M
audio01051,male24,M
audio01052,male8,M
audio01053,male16,M
audio01054,male25,M
audio01055,female2,F
audio01056,female15,F
audio01057,female28,F
audio01058,female29,F
audio01059,female3,F
audio01060,male26,M
audio01061,male7,M
audio01062,female11,F
audio01063,female27,F
audio01064,male4,M
audio01065,female1,F
audio01066,male26,M
audio01067,male25,M
audio01068,female14,F
audio01069,male20,M
audio01070,female9,F
audio01071,male22,M
audio01072,female9,F
audio01073,male26,M
audio01074,female27,F
audio01075,male22,M
audio01076,male8,M
audio01077,male8,M
audio01078,male16,M
audio01079,female14,F
audio01080,female15,F
audio01081,female17,F
audio01082,female12,F
audio01083,male22,M
audio01084,female28,F
audio01085,female11,F
audio01086,female29,F
audio01087,female1,F
audio01088,male8,M
audio01089,female5,F
audio01090,male18,M
audio01091,female9,F
audio01092,female14,F
audio01093,female30,F
audio01094,male3,M
audio01095,female29,F
audio01096,male7,M
audio01097,male22,M
audio01098,female9,F
audio01099,male10,M
audio01100,female30,F
audio01101,male26,M
audio01102,female22,F
audio01103,female11,F
audio01104,male8,M
audio01105,male4,M
audio01106,male10,M
audio01107,male30,M
audio01108,male26,M
audio01109,female9,F
audio01110,female1,F
audio01111,male7,M
audio01112,female24,F
audio01113,male25,M
audio01114,female4,F
audio01115,female14,F
audio01116,male19,M
audio01117,male16,M
audio01118,male20,M
audio01119,female15,F
audio01120,male7,M
audio01121,male10,M
audio01122,female11,F
audio01123,male9,M
audio01124,female14,F
audio01125,female9,F
audio01126,male2,M
audio01127,female24,F
audio01128,male19,M
audio01129,female17,F
audio01130,male27,M
audio01131,male16,M
audio01132,female24,F
audio01133,male22,M
audio01134,male22,M
audio01135,male8,M
audio01136,male5,M
audio01137,female1,F
audio01138,female17,F
audio01139,female4,F
audio01140,male10,M
audio01141,male27,M
audio01142,male9,M
audio01143,male23,M
audio01144,male2,M
audio01145,female4,F
audio01146,male18,M
audio01147,male4,M
audio01148,female4,F
audio01149,male4,M
audio01150,female9,F
audio01151,female28,F
audio01152,female27,F
audio01153,female1,F
audio01154,female1,F
audio01155,female5,F
audio01156,male25,M
audio01157,male19,M
audio01158,male25,M
audio01159,male2,M
audio01160,female1,F
audio01161,female3,F
audio01162,female9,F
audio01163,female17,F
audio01164,male27,M
audio01165,female22,F
audio01166,female1,F
audio01167,male7,M
audio01168,female12,F
audio01169,female5,F
audio01170,male10,M
audio01171,female8,F
audio01172,male26,M
audio01173,male6,M
audio01174,male23,M
audio01175,male27,M
audio01176,female17,F
audio01177,male6,M
audio01178,female8,F
audio01179,female24,F
audio01180,female20,F
audio01181,male2,M
audio01182,male4,M
audio01183,female12,F
audio01184,female12,F
audio01185,female5,F
audio01186,female17,F
audio01187,male30,M
audio01188,female4,F
audio01189,male16,M
audio01190,male20,M
audio01191,male7,M
audio01192,male8,M
audio01193,male5,M
audio01194,female2,F
audio01195,male10,M
audio01196,female4,F
audio01197,female2,F
audio01198,male20,M
audio01199,female27,F
audio01200,female24,F
audio01201,female14,F
audio01202,female24,F
audio01203,female27,F
audio01204,male5,M
audio01205,male18,M
audio01206,male25,M
audio01207,male20,M
audio01208,male4,M
audio01209,female30,F
audio01210,female17,F
audio01211,female28,F
audio01212,female3,F
audio01213,male4,M
audio01214,male4,M
audio01215,male25,M
audio01216,male22,M
audio01217,male6,M
audio01218,female17,F
audio01219,female8,F
audio01220,male22,M
audio01221,female24,F
audio01222,male2,M
audio01223,female26,F
audio01224,female17,F
audio01225,female12,F
audio01226,male19,M
audio01227,male30,M
audio01228,male22,M
audio01229,female29,F
audio01230,male18,M
audio01231,female12,F
audio01232,male16,M
audio01233,male4,M
audio01234,female22,F
audio01235,male18,M
audio01236,female28,F
audio01237,male22,M
audio01238,female8,F
audio01239,male22,M
audio01240,male16,M
audio01241,female20,F
audio01242,female15,F
audio01243,female17,F
audio01244,female17,F
audio01245,male7,M
audio01246,male30,M
audio01247,female9,F
audio01248,male8,M
audio01249,male7,M
audio01250,female15,F
audio01251,female2,F
audio01252,male4,M
audio01253,male4,M
audio01254,male6,M
audio01255,male23,M
audio01256,female30,F
audio01257,female15,F
audio01258,female22,F
audio01259,male7,M
audio01260,female2,F
audio01261,male26,M
audio01262,male25,M
audio01263,male26,M
audio01264,male6,M
audio01265,female24,F
audio01266,female1,F
audio01267,male27,M
audio01268,male20,M
audio01269,male30,M
audio01270,male4,M
audio01271,female26,F
audio01272,female11,F
audio01273,male3,M
audio01274,female2,F
audio01275,female28,F
audio01276,male16,M
audio01277,male2,M
audio01278,female2,F
audio01279,female11,F
audio01280,female26,F
audio01281,female9,F
audio01282,female30,F
audio01283,female14,F
audio01284,male16,M
audio01285,female24,F
audio01286,female29,F
audio01287,male19,M
audio01288,male4,M
audio01289,female8,F
audio01290,male24,M
audio01291,female5,F
audio01292,female29,F
audio01293,male19,M
audio01294,male18,M
audio01295,female28,F
audio01296,male2,M
audio01297,male19,M
audio01298,male10,M
audio01299,female4,F
audio01300,male22,M
audio01301,female4,F
audio01302,male10,M
audio01303,female22,F
audio01304,male9,M
audio01305,female27,F
audio01306,male7,M
audio01307,female26,F
audio01308,male9,M
audio01309,male24,M
audio01310,female8,F
audio01311,female1,F
audio01312,female8,F
audio01313,female17,F
audio01314,female14,F
audio01315,male23,M
audio01316,male30,M
audio01317,female15,F
audio01318,female29,F
audio01319,female26,F
audio01320,male22,M
audio01321,female24,F
audio01322,male22,M
audio01323,male5,M
audio01324,male6,M
audio01325,male25,M
audio01326,female28,F
audio01327,male23,M
audio01328,male9,M
audio01329,male9,M
audio01330,female14,F
audio01331,female20,F
audio01332,female24,F
audio01333,male18,M
audio01334,male3,M
audio01335,male9,M
audio01336,male2,M
audio01337,female14,F
audio01338,female8,F
audio01339,female8,F
audio01340,male20,M
audio01341,male27,M
audio01342,male5,M
audio01343,female30,F
audio01344,male30,M
audio01345,male9,M
audio01346,male2,M
audio01347,female1,F
audio01348,female24,F
audio01349,female26,F
audio01350,male18,M
audio01351,male26,M
audio01352,female17,F
audio01353,male25,M
audio01354,male30,M
audio01355,male22,M
audio01356,female17,F
audio01357,male10,M
audio01358,female8,F
audio01359,female15,F
audio01360,male26,M
audio01361,female8,F
audio01362,male26,M
audio01363,male6,M
audio01364,female24,F
audio01365,female8,F
audio01366,male10,M
audio01367,male9,M
audio01368,male26,M
audio01369,male18,M
audio01370,male23,M
audio01371,female11,F
audio01372,male18,M
audio01373,female3,F
audio01374,female2,F
audio01375,female30,F
audio01376,male18,M
audio01377,female5,F
audio01378,male30,M
audio01379,female30,F
audio01380,male10,M
audio01381,male30,M
audio01382,male2,M
audio01383,male4,M
audio01384,male9,M
audio01385,female4,F
audio01386,female28,F
audio01387,female11,F
audio01388,female5,F
audio01389,female12,F
audio01390,male20,M
audio01391,male9,M
audio01392,male30,M
audio01393,male23,M
audio01394,male16,M
